Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
"2024-07-22 3:15:00",03:15:00,CNR2395710036,"Canceled by Customer",CID581320,eBike,"HSR Layout",Vijayanagar,NULL,NULL,"Driver is not moving towards pickup location",NULL,NULL,NULL,384,NULL,0,NULL,NULL
"2024-07-02 9:02:00",09:02:00,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,NULL,NULL,No,NULL,822,"Credit Card",45,4,3
"2024-07-13 4:42:00",04:42:00,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,NULL,NULL,No,NULL,173,UPI,41,3.4,4.6
"2024-07-23 9:51:00",09:51:00,CNR3612067560,Success,CID476071,Bike,"Tumkur Road",Whitefield,133,40,NULL,NULL,No,NULL,140,Cash,49,3.2,4.5
"2024-07-11 11:12:00",11:12:00,CNR5374902489,"Canceled by Driver",CID735691,"Prime Plus","Bannerghatta Road","Sarjapur Road",NULL,NULL,NULL,"Personal & Car related issue",NULL,NULL,344,NULL,0,NULL,NULL
"2024-07-01 19:19:00",19:19:00,CNR5030602354,"Driver Not Found",CID999840,Mini,Chamarajpet,Peenya,NULL,NULL,NULL,NULL,NULL,NULL,839,NULL,0,NULL,NULL
"2024-07-18 1:31:00",01:31:00,CNR6328453219,"Canceled by Driver",CID907133,Auto,"RT Nagar",Varthur,NULL,NULL,NULL,"Personal & Car related issue",NULL,NULL,893,NULL,0,NULL,NULL
"2024-07-29 23:33:00",23:33:00,CNR4787583516,Success,CID923404,"Prime Plus","Hosur Road",Jayanagar,35,55,NULL,NULL,No,NULL,164,Cash,46,4.5,3.4
"2024-07-26 4:03:00",04:03:00,CNR7943634301,Success,CID647026,"Prime Plus",Kammanahalli,Rajajinagar,238,95,NULL,NULL,No,NULL,399,Cash,18,3.9,4.4
"2024-07-27 13:18:00",13:18:00,CNR4524472111,Success,CID540929,Auto,"Cox Town",Yelahanka,126,35,NULL,NULL,No,NULL,330,UPI,8,3,4.8
"2024-07-17 18:55:00",18:55:00,CNR3914552212,"Canceled by Driver",CID557845,Auto,"Hosur Road",Banashankari,NULL,NULL,NULL,"Personal & Car related issue",NULL,NULL,427,NULL,0,NULL,NULL
"2024-07-16 9:54:00",09:54:00,CNR8181602032,Success,CID167642,Bike,Indiranagar,"MG Road",70,95,NULL,NULL,No,NULL,378,UPI,18,4.8,4.1
"2024-07-02 10:25:00",10:25:00,CNR8090918544,Success,CID640151,Bike,"Magadi Road","HSR Layout",126,95,NULL,NULL,No,NULL,343,UPI,23,3.7,3.6
"2024-07-02 23:50:00",23:50:00,CNR3211335290,"Driver Not Found",CID630354,Mini,"Ramamurthy Nagar","BTM Layout",NULL,NULL,NULL,NULL,NULL,NULL,366,NULL,0,NULL,NULL
"2024-07-05 23:42:00",23:42:00,CNR3196156650,Success,CID243275,Bike,"Electronic City","Langford Town",140,40,NULL,NULL,No,NULL,401,Cash,8,3.3,3.9
"2024-07-09 11:11:00",11:11:00,CNR9975925287,Success,CID162055,"Prime SUV","Magadi Road","RT Nagar",42,30,NULL,NULL,No,NULL,343,UPI,17,3,3.8
